,SYMBOL, SERIES_last, DATE1_last, PREV_CLOSE_last, OPEN_PRICE_last, HIGH_PRICE_last, LOW_PRICE_last, LAST_PRICE_last, CLOSE_PRICE_last, AVG_PRICE_last, TTL_TRD_QNTY_last, TURNOVER_LACS_last, NO_OF_TRADES_last, DELIV_QTY_last, DELIV_PER_last, SERIES_previous, DATE1_previous, PREV_CLOSE_previous, OPEN_PRICE_previous, HIGH_PRICE_previous, LOW_PRICE_previous, LAST_PRICE_previous, CLOSE_PRICE_previous, AVG_PRICE_previous, TTL_TRD_QNTY_previous, TURNOVER_LACS_previous, NO_OF_TRADES_previous, DELIV_QTY_previous, DELIV_PER_previous
0,1018GS2026, GS, 21-Nov-2025,105.5,105.5,106.0,105.5,106.0,106.0,105.97,1793,1.9,6, 1793, 100.00, GS, 20-Nov-2025,106.25,111.0,111.0,104.0,105.5,105.5,104.17,2139,2.23,8, 2087, 97.57
1,20MICRONS, EQ, 21-Nov-2025,190.86,190.0,193.19,189.56,189.61,190.37,190.81,49898,95.21,1834, 28530, 57.18, EQ, 20-Nov-2025,194.67,194.0,195.96,190.0,190.59,190.86,192.57,56469,108.74,2512, 32076, 56.80
2,21STCENMGM, EQ, 21-Nov-2025,39.89,39.89,39.89,39.09,39.09,39.09,39.1,4836,1.89,68, 4836, 100.00, EQ, 20-Nov-2025,40.71,40.0,41.45,39.89,39.89,39.89,40.0,6984,2.79,125, 6883, 98.55
3,360ONE, EQ, 21-Nov-2025,1142.1,1142.1,1157.3,1121.0,1138.8,1139.7,1138.82,2783024,31693.65,60383, 782101, 28.10, EQ, 20-Nov-2025,1119.2,1128.9,1144.9,1117.6,1143.0,1142.1,1134.17,1134821,12870.79,39332, 323907, 28.54
4,3IINFOLTD, EQ, 21-Nov-2025,17.34,17.32,17.49,17.1,17.25,17.21,17.21,270180,46.5,1101, 168587, 62.40, EQ, 20-Nov-2025,17.43,17.65,17.65,17.2,17.21,17.34,17.44,372209,64.92,1674, 209529, 56.29
5,3MINDIA, EQ, 21-Nov-2025,35685.0,35755.0,35760.0,35160.0,35500.0,35455.0,35594.92,8367,2978.23,2044, 6658, 79.57, EQ, 20-Nov-2025,35970.0,36240.0,36240.0,35495.0,35640.0,35685.0,35751.19,3044,1088.27,1598, 1369, 44.97
6,3PLAND, EQ, 21-Nov-2025,39.4,39.4,39.99,38.5,39.24,39.51,39.4,2402,0.95,80, 1887, 78.56, EQ, 20-Nov-2025,39.66,40.5,40.5,38.8,39.4,39.4,39.36,1061,0.42,95, 827, 77.95
7,585GS2030, GS, 21-Nov-2025,98.77,98.79,99.0,98.31,98.31,98.47,98.56,1786,1.76,6, 1586, 88.80, GS, 20-Nov-2025,98.64,98.77,98.77,98.77,98.77,98.77,98.77,1,0.0,1, 1, 100.00
8,5PAISA, EQ, 21-Nov-2025,356.6,356.25,363.75,340.2,342.5,342.85,352.01,405431,1427.17,9375, 85294, 21.04, EQ, 20-Nov-2025,333.65,333.65,360.0,325.4,357.5,356.6,347.74,1142261,3972.08,22265, 169807, 14.87
9,601GS2030, GS, 21-Nov-2025,101.23,101.23,101.28,101.23,101.28,101.28,101.28,500100,506.5,2, 500100, 100.00, GS, 20-Nov-2025,100.24,101.23,101.23,101.23,101.23,101.23,101.23,5000000,5061.5,100, 5000000, 100.00
10,633GS2035, GS, 21-Nov-2025,98.0,101.7,101.7,101.7,101.7,101.7,101.7,2,0.0,2, 2, 100.00, GS, 20-Nov-2025,100.0,104.0,104.0,98.0,98.0,98.0,98.0,23286,22.82,3, 23286, 100.00
11,63MOONS, EQ, 21-Nov-2025,756.25,751.5,767.5,730.1,733.5,736.1,751.32,113447,852.35,4744, 56102, 49.45, EQ, 20-Nov-2025,720.05,725.1,764.0,723.0,758.5,756.25,749.87,167446,1255.63,6668, 68976, 41.19
12,648GS2035, GS, 21-Nov-2025,99.95,100.1,100.1,100.0,100.0,100.0,100.05,200,0.2,2, 200, 100.00, GS, 20-Nov-2025,99.9,99.95,99.95,99.95,99.95,99.95,99.95,1100,1.1,2, 1100, 100.00
13,667GS2050, GS, 21-Nov-2025,97.0,97.1,97.1,97.1,97.1,97.1,97.1,10,0.01,1, 10, 100.00, GS, 20-Nov-2025,96.75,97.0,97.0,97.0,97.0,97.0,97.0,900,0.87,1, 900, 100.00
14,676GS2061, GS, 21-Nov-2025,94.6,94.6,94.6,94.0,94.54,94.54,94.51,1070,1.01,3, 1070, 100.00, GS, 20-Nov-2025,94.49,94.54,94.6,93.3,94.6,94.6,93.93,204,0.19,5, 104, 50.98
15,68GS2060, GS, 21-Nov-2025,96.0,96.0,96.0,96.0,96.0,96.0,96.0,558,0.54,7, 558, 100.00, GS, 20-Nov-2025,96.0,96.0,96.0,96.0,96.0,96.0,96.0,15,0.01,6, 15, 100.00
16,690GS2065, GS, 21-Nov-2025,95.02,95.02,95.54,95.02,95.3,95.29,95.35,23912,22.8,19, 23892, 99.92, GS, 20-Nov-2025,95.0,95.01,95.1,95.0,95.1,95.02,95.03,407595,387.33,267, 404470, 99.23
17,692GS2039, GS, 21-Nov-2025,100.28,101.98,101.98,101.98,101.98,101.98,101.98,51,0.05,2, 51, 100.00, GS, 20-Nov-2025,101.99,101.0,101.98,100.25,101.98,100.28,100.98,5152,5.2,5, 5152, 100.00
18,695GS2061, GS, 21-Nov-2025,98.5,98.5,98.5,96.53,96.53,96.53,97.7,4193,4.1,4, 4193, 100.00, GS, 20-Nov-2025,98.9,98.75,98.75,98.5,98.5,98.5,98.73,6556,6.47,7, 6556, 100.00
19,698GR2054, GS, 21-Nov-2025,97.1,97.1,97.88,97.1,97.88,97.88,97.44,178,0.17,2, 100, 56.18, GS, 20-Nov-2025,96.53,96.53,98.5,96.53,97.1,97.1,98.11,2272,2.23,9, 2272, 100.00
20,699GS2026, GS, 21-Nov-2025,101.15,101.4,101.4,101.15,101.15,101.15,101.39,184,0.19,3, 184, 100.00, GS, 20-Nov-2025,100.93,100.75,101.15,100.75,101.15,101.15,101.13,110,0.11,2, 105, 95.45
21,702GS2027, GS, 21-Nov-2025,105.1,104.15,104.16,104.15,104.16,104.16,104.15,10196,10.62,3, 10196, 100.00, GS, 20-Nov-2025,105.0,104.15,105.1,104.15,105.1,105.1,104.15,247,0.26,2, 246, 99.60
22,709GS2054, GS, 21-Nov-2025,100.45,100.49,100.49,100.4,100.4,100.4,100.41,12906,12.96,11, 12906, 100.00, GS, 20-Nov-2025,99.98,99.98,100.45,99.98,100.45,100.45,100.02,7009,7.01,5, 7009, 100.00
23,709GS2074, GS, 21-Nov-2025,99.8,99.62,99.95,99.6,99.73,99.72,99.83,59328,59.23,48, 59328, 100.00, GS, 20-Nov-2025,99.61,99.65,100.0,99.6,99.8,99.8,99.81,80979,80.83,90, 78200, 96.57
